ID;firstName;lastName;street;housenumber;postalCode;city;country;email;phone
f54181ba-9b56-4e8a-af89-a224384aed94;Whiskey Hotel;Kilo;Tango Mike;Mike;Echo Romeo;Tango Zulu Delta;Lima Quebec;Alfa India Quebec;Echo Uniform
f81a7cb4-a8bf-4dcf-bf98-95cd074381fc;Zulu Uniform Bravo;Java;Zulu Uniform Bravo;Whiskey;India Delta X-ray;Victor Romeo;Quebec Tango Alfa;Whiskey Golf Hotel;X-ray Charlie Victor
64f62616-e231-405f-8fc4-1eec2b345988;Whiskey;Romeo Tango Charlie;Victor Golf Alfa;India;Quebec India;Victor Delta;Echo Mike;Kilo Sierra;Golf
d41f7119-a2a9-4ca8-a7f6-daa4b2ce9acd;Tango Java Juliett;Charlie;Java;Victor Lima Kilo;Sierra;X-ray Charlie Yankee;Lima Oscar;X-ray;Quebec Charlie Java
f28e1168-cf4f-45b5-99b6-7a97ed9005de;Alfa India Quebec;Whiskey;Bravo;Hotel Tango Foxtrot;Zulu Quebec Foxtrot;Java;Victor Quebec;Yankee;Delta Yankee
7eee4cd0-846b-46e5-aac7-62a158400a64;Yankee;Romeo;Yankee X-ray Java;Juliett Quebec Golf;Java Hotel;Oscar Tango;India;Whiskey;Juliett Bravo
b605c6d6-c271-4c9b-9457-c7a6149f5025;Romeo Victor;Victor Whiskey Quebec;Victor;Quebec India Foxtrot;Quebec X-ray Lima;Java Uniform;Zulu;Bravo Kilo Hotel;Quebec
7cc601ce-deb4-49ee-a9a6-9d083614077d;Uniform;Echo Java India;November Whiskey;Uniform Victor Charlie;Zulu Hotel;Yankee;Bravo Juliett;Lima Sierra Tango;Quebec Juliett Alfa
4619ccf4-7ac1-4e53-93f7-7be7a541ae61;Sierra;Juliett;Echo;X-ray Tango;Golf Alfa Charlie;Quebec X-ray Lima;Juliett;Mike X-ray Victor;Charlie X-ray
e748155e-6aa9-402f-bb4c-740578faa631;Zulu November;Juliett;Tango;India Uniform Kilo;Bravo Uniform Yankee;Uniform Whiskey Lima;Bravo;Yankee Kilo;Bravo Kilo Hotel
